['-121.99', '37.61', '9', '3666', '711', '2341', '703', '4.6458', '217000', '<1H OCEAN']
['-121.97', '37.57', '21', '4342', '783', '2172', '789', '4.6146', '247600', '<1H OCEAN']
['-121.96', '37.58', '15', '3575', '597', '1777', '559', '5.7192', '283500', '<1H OCEAN']
['-121.98', '37.58', '20', '4126', '1031', '2079', '975', '3.6832', '216900', '<1H OCEAN']
['-121.99', '37.58', '31', '2878', '478', '1276', '485', '6.2073', '282500', '<1H OCEAN']
['-121.99', '37.56', '18', '5505', '1005', '2641', '971', '5', '269700', '<1H OCEAN']
['-121.99', '37.56', '20', '6462', '1294', '3288', '1235', '4.3393', '231200', '<1H OCEAN']
['-121.96', '37.55', '4', '3746', '993', '1606', '838', '4.1387', '162500', '<1H OCEAN']
['-121.97', '37.56', '13', '8918', '1823', '4518', '1772', '4.8052', '254000', '<1H OCEAN']
['-121.97', '37.54', '31', '1949', '344', '986', '322', '4.6349', '196200', '<1H OCEAN']
['-121.97', '37.55', '17', '4924', '1247', '3080', '1182', '3168', '189400', '<1H OCEAN']
['-121.98', '37.54', '17', '5133', '1375', '3386', '1339', '3.1326', '220800', '<1H OCEAN']
['-121.99', '37.55', '16', '6647', '2098', '4649', '1903', '2.9074', '213800', '<1H OCEAN']
['-121.94', '37.53', '33', '2095', '342', '941', '304', '5761', '259600', '<1H OCEAN']
['-121.95', '37.54', '29', '3517', '645', '1724', '585', '4.6641', '248900', '<1H OCEAN']
['-121.96', '37.54', '14', '5106', '1207', '2738', '1108', '3.9909', '236000', '<1H OCEAN']
['-121.96', '37.53', '23', '2215', '475', '1278', '492', '4.2955', '218800', '<1H OCEAN']
['-121.96', '37.53', '28', '2949', '529', '1538', '545', '4.9615', '228000', '<1H OCEAN']
['-121.96', '37.53', '18', '2375', '652', '1252', '586', '2.6198', '235900', '<1H OCEAN']
['-121.97', '37.54', '28', '2312', '496', '1344', '467', '4.7135', '203200', '<1H OCEAN']
['-121.97', '37.53', '35', '2277', '420', '1353', '413', '4.75', '197000', '<1H OCEAN']
['-121.97', '37.53', '26', '2506', '387', '1273', '406', '5.4299', '236400', '<1H OCEAN']
['-121.98', '37.53', '28', '2829', '566', '1610', '540', '4.6', '223200', '<1H OCEAN']
['-121.98', '37.53', '26', '3179', '703', '2142', '639', '4.1947', '222700', '<1H OCEAN']
['-121.99', '37.54', '26', '2332', '371', '1285', '404', '5388', '225000', '<1H OCEAN']
['-121.99', '37.54', '18', '3584', '715', '1673', '661', '3.9444', '240100', '<1H OCEAN']
['-121.99', '37.54', '28', '3046', '507', '1772', '516', '5.3283', '227900', '<1H OCEAN']
['-121.99', '37.55', '28', '2414', '415', '1106', '453', '4.8403', '268600', '<1H OCEAN']
['-121.99', '37.53', '25', '5405', '939', '2831', '923', '5.0423', '222200', '<1H OCEAN']
['-121.97', '37.52', '26', '3761', '623', '1776', '613', '4.5317', '232600', '<1H OCEAN']
['-121.97', '37.51', '25', '3333', '511', '1671', '504', '5.4359', '258300', '<1H OCEAN']
['-121.97', '37.52', '23', '4925', '948', '2530', '894', '5.0824', '230900', '<1H OCEAN']
['-121.95', '37.52', '33', '3994', '764', '2721', '763', '5.2308', '196900', '<1H OCEAN']
['-121.96', '37.51', '22', '5811', '1125', '3215', '1086', '4.4107', '223500', '<1H OCEAN']
['-121.96', '37.52', '26', '4211', '741', '2352', '734', '5.2396', '223900', '<1H OCEAN']
['-121.93', '37.53', '27', '5532', '973', '2855', '960', '4.7478', '243500', '<1H OCEAN']
['-121.92', '37.49', '10', '7441', '1588', '3571', '1466', '5.1643', '193100', '<1H OCEAN']
['-121.92', '37.48', '23', '4314', '676', '1972', '623', '5.3813', '264400', '<1H OCEAN']
['-121.92', '37.47', '26', '2016', '322', '1105', '357', '6.0878', '246900', '<1H OCEAN']
['-121.92', '37.72', '4', '7477', '1576', '2937', '1506', '5.1437', '299400', '<1H OCEAN']
['-121.92', '37.72', '22', '4638', '716', '2302', '687', '5347', '219500', '<1H OCEAN']
['-121.91', '37.71', '25', '4377', '668', '2038', '671', '5.7233', '231800', '<1H OCEAN']
['-121.93', '37.72', '26', '3816', '637', '1935', '642', '4.4697', '221300', '<1H OCEAN']
['-121.93', '37.72', '26', '2806', '459', '1453', '444', '4.9107', '213800', '<1H OCEAN']
['-121.93', '37.71', '26', '4822', '845', '2288', '805', '4.2281', '206000', '<1H OCEAN']
['-121.94', '37.71', '15', '6473', '1027', '2484', '970', '5.0143', '271100', '<1H OCEAN']
['-121.92', '37.69', '13', '3742', '555', '1590', '559', '7316', '285400', '<1H OCEAN']
['-121.92', '37.68', '23', '1655', '223', '706', '219', '7.2211', '291900', '<1H OCEAN']
['-121.93', '37.7', '3', '2456', '582', '793', '456', '4.4087', '225600', '<1H OCEAN']
['-121.91', '37.69', '23', '2179', '308', '926', '299', '5.9345', '259600', '<1H OCEAN']
['-121.91', '37.68', '20', '1804', '254', '831', '260', '6177', '262900', '<1H OCEAN']
['-121.91', '37.68', '18', '3631', '547', '1700', '520', '5817', '257300', '<1H OCEAN']
['-121.91', '37.69', '18', '2876', '423', '1395', '427', '6.3132', '259200', '<1H OCEAN']
['-121.88', '37.67', '25', '2244', '301', '937', '324', '6.4524', '296900', 'INLAND']
['-121.89', '37.67', '20', '2948', '471', '1181', '474', '6.0604', '247900', 'INLAND']
['-121.88', '37.66', '29', '2702', '680', '1360', '642', '3.1127', '233000', 'INLAND']
['-121.87', '37.66', '39', '522', '116', '161', '102', '2.4896', '238500', 'INLAND']
['-121.87', '37.66', '52', '775', '134', '315', '123', '5.0677', '233300', 'INLAND']
['-121.89', '37.66', '3', '1565', '464', '769', '461', '2.1187', '231300', 'INLAND']
['-121.87', '37.67', '10', '4337', '800', '1813', '743', '5.5', '247200', 'INLAND']
['-121.87', '37.67', '28', '1812', '294', '853', '278', '4.9879', '229400', 'INLAND']
['-121.85', '37.68', '4', '4719', '741', '1895', '742', '6.8132', '282500', 'INLAND']
['-121.86', '37.66', '22', '3634', '664', '1699', '640', '4.1597', '293200', 'INLAND']
['-121.87', '37.66', '27', '1569', '242', '583', '214', '5.7519', '278500', 'INLAND']
['-121.89', '37.69', '4', '6159', '1510', '2649', '1241', '3.62', '139300', '<1H OCEAN']
['-121.61', '37.77', '32', '404', '74', '144', '58', '4.2083', '125000', 'INLAND']
['-121.73', '37.71', '12', '5608', '1049', '2595', '1067', '3.9864', '200200', 'INLAND']
['-121.75', '37.71', '11', '12070', '2220', '5826', '2125', '4.8624', '192400', 'INLAND']
['-121.8', '37.7', '22', '5533', '943', '2474', '910', '4.7361', '216800', 'INLAND']
['-121.8', '37.69', '17', '3956', '639', '2222', '662', '5.4324', '215500', 'INLAND']
['-121.82', '37.69', '12', '1906', '351', '802', '319', '4.9375', '227700', 'INLAND']
['-121.76', '37.69', '29', '3433', '711', '1919', '709', '3.3841', '184400', 'INLAND']
['-121.77', '37.68', '36', '1687', '372', '950', '372', '3.5532', '158400', 'INLAND']
['-121.78', '37.69', '34', '2358', '498', '1157', '461', '3.3618', '174600', 'INLAND']
['-121.78', '37.69', '35', '2853', '588', '1761', '572', '4.3533', '168400', 'INLAND']
['-121.79', '37.69', '25', '6296', '1082', '3200', '1047', '4.5357', '188400', 'INLAND']
['-121.76', '37.7', '9', '3980', '736', '1705', '679', '5.7068', '256700', 'INLAND']
['-121.75', '37.69', '26', '2647', '536', '1422', '522', '3.7212', '183800', 'INLAND']
['-121.75', '37.68', '35', '1755', '299', '702', '263', '5.2443', '183400', 'INLAND']
['-121.76', '37.68', '35', '1864', '357', '1189', '349', '4.2361', '177500', 'INLAND']
['-121.76', '37.68', '32', '1078', '207', '555', '197', '3.1856', '186900', 'INLAND']
['-121.73', '37.68', '17', '20354', '3493', '8768', '3293', '5.4496', '238900', 'INLAND']
['-121.78', '37.68', '17', '3112', '872', '1392', '680', '3.0222', '172500', 'INLAND']
['-121.77', '37.68', '44', '495', '112', '277', '109', '2.6667', '179200', 'INLAND']
['-121.76', '37.68', '52', '2157', '418', '929', '419', '3.7301', '204400', 'INLAND']
['-121.77', '37.68', '41', '1501', '299', '629', '288', '4.6806', '209400', 'INLAND']
['-121.77', '37.67', '20', '8068', '1217', '3489', '1259', '5.7907', '264200', 'INLAND']
['-121.78', '37.67', '26', '2211', '344', '1024', '321', '5.2649', '199800', 'INLAND']
['-121.79', '37.67', '26', '2163', '339', '947', '346', '6.0797', '211000', 'INLAND']
['-121.78', '37.67', '28', '1773', '278', '804', '269', '4.8571', '201100', 'INLAND']
['-121.78', '37.66', '25', '1947', '418', '900', '354', '3.8523', '193000', 'INLAND']
['-121.79', '37.66', '22', '14701', '2210', '6693', '2232', '5.98', '245000', 'INLAND']
['-121.72', '37.98', '5', '7105', '1143', '3523', '1088', '5.0468', '168800', 'INLAND']
['-121.68', '37.98', '19', '3388', '599', '1707', '575', '3.6411', '162800', 'INLAND']
['-121.7', '37.98', '9', '3079', '519', '1562', '512', '5.1041', '172900', 'INLAND']
['-121.71', '37.99', '27', '3861', '718', '2085', '707', '3.3558', '129700', 'INLAND']
['-121.67', '37.99', '22', '1046', '195', '527', '164', '4375', '213500', 'INLAND']
['-121.68', '37.93', '44', '1014', '225', '704', '238', '1.6554', '119400', 'INLAND']
['-121.7', '37.94', '36', '1710', '320', '861', '300', '2.8828', '131100', 'INLAND']
['-121.69', '37.95', '15', '1850', '441', '1348', '403', '3.8125', '125400', 'INLAND']
['-121.7', '37.96', '33', '2396', '452', '1391', '465', '3.2813', '151400', 'INLAND']
['-121.66', '37.93', '19', '2055', '358', '1064', '350', '4.7426', '263100', 'INLAND']
['-121.7', '37.91', '17', '1962', '291', '825', '267', '4.8958', '187100', 'INLAND']
['-121.7', '37.93', '19', '2005', '405', '972', '403', '2.2216', '156700', 'INLAND']
['-121.74', '37.95', '5', '4980', '774', '2399', '763', '5.7104', '186300', 'INLAND']
['-121.7', '37.93', '10', '3258', '612', '1779', '558', '4.6587', '152500', 'INLAND']
['-121.6', '37.91', '13', '2479', '394', '1075', '350', '5.1017', '241400', 'INLAND']
['-121.61', '37.86', '30', '1428', '287', '989', '287', '3691', '154400', 'INLAND']
['-121.64', '37.85', '22', '1999', '415', '967', '320', '4.4583', '253900', 'INLAND']
['-121.81', '37.99', '18', '2807', '445', '1315', '437', '4.8194', '170400', 'INLAND']
['-121.81', '37.99', '22', '2331', '359', '1086', '340', '5.1435', '150800', 'INLAND']
['-121.82', '37.98', '13', '3995', '605', '1969', '607', '5.0164', '165200', 'INLAND']
['-121.83', '37.99', '23', '1150', '174', '572', '174', '4.9167', '152400', 'INLAND']
['-121.83', '37.99', '23', '1970', '296', '935', '279', '4.4853', '145900', 'INLAND']
['-121.83', '37.99', '18', '2741', '449', '1507', '460', '4.7566', '142500', 'INLAND']
['-121.84', '37.99', '13', '4545', '952', '2188', '901', '3.3625', '126100', 'INLAND']
['-121.84', '37.99', '15', '2380', '385', '1292', '388', '4.6029', '142600', 'INLAND']
['-121.83', '37.99', '16', '2919', '462', '1456', '453', '5.6779', '164700', 'INLAND']
['-121.79', '37.99', '10', '4156', '609', '1878', '586', '5.6506', '178600', 'INLAND']
['-121.79', '37.99', '18', '3646', '534', '1651', '535', '5.7321', '164700', 'INLAND']
['-121.8', '37.99', '16', '3077', '465', '1575', '446', '5.5', '179500', 'INLAND']
['-121.77', '37.99', '4', '5623', '780', '2429', '716', '5.4409', '205100', 'INLAND']
['-121.89', '37.99', '4', '2171', '597', '928', '461', '4.1016', '170500', 'INLAND']
['-121.88', '37.99', '16', '3787', '515', '1606', '507', '5.5676', '174200', 'INLAND']
['-121.87', '37.99', '15', '2203', '312', '1051', '311', '4.9783', '163900', 'INLAND']
['-121.99', '37.98', '23', '2293', '411', '969', '399', '4.4536', '184000', 'INLAND']
['-121.99', '37.97', '28', '2839', '428', '1372', '443', '6.2135', '217200', 'INLAND']
['-121.95', '37.96', '18', '2739', '393', '1072', '374', '6.1436', '259500', 'INLAND']
['-121.97', '37.97', '27', '1691', '289', '807', '296', '6.1168', '210500', 'INLAND']
['-121.97', '37.97', '24', '1330', '183', '656', '205', '5.0092', '244100', 'INLAND']
['-121.97', '37.96', '28', '1433', '290', '877', '313', '4.7891', '184800', 'INLAND']
['-121.96', '37.96', '28', '1838', '273', '899', '270', '5.2145', '229200', 'INLAND']
['-121.96', '37.95', '7', '3418', '740', '1583', '676', '3.6133', '196100', 'INLAND']
['-121.98', '37.96', '22', '2987', '', '1420', '540', '3.65', '204100', 'INLAND']
['-121.97', '37.97', '26', '1977', '264', '817', '273', '5.7512', '240200', 'INLAND']
['-121.98', '37.97', '26', '2714', '390', '1232', '409', '5.9617', '231100', 'INLAND']
['-121.98', '37.97', '26', '2738', '428', '1316', '430', '5.2442', '213200', 'INLAND']
['-121.99', '37.97', '22', '2823', '509', '1271', '474', '5.1333', '207200', 'INLAND']
['-121.99', '37.97', '30', '3320', '589', '1470', '543', '4.6071', '184100', 'INLAND']
['-121.96', '37.95', '13', '3216', '765', '1627', '715', '3.0859', '167800', 'INLAND']
['-121.97', '37.95', '8', '4253', '709', '1883', '662', '5431', '246700', 'INLAND']
['-121.98', '37.96', '12', '5048', '1122', '2209', '1014', '3.1573', '126700', 'INLAND']
['-121.99', '37.96', '16', '3324', '479', '1470', '461', '7.6166', '260400', 'INLAND']
['-121.99', '37.96', '17', '2756', '423', '1228', '426', '5.5872', '200600', 'INLAND']
['-121.98', '37.95', '14', '6290', '854', '2724', '820', '6.7371', '267400', 'INLAND']
['-121.98', '37.95', '16', '2984', '406', '1317', '397', '6.7821', '265900', 'INLAND']
['-121.94', '37.73', '22', '1980', '291', '861', '290', '6.2726', '258200', '<1H OCEAN']
['-121.94', '37.73', '22', '6719', '1068', '2843', '994', '6.1265', '260300', '<1H OCEAN']
['-121.93', '37.73', '23', '2564', '347', '1043', '351', '6.2048', '275000', '<1H OCEAN']
['-121.95', '37.74', '19', '1127', '170', '518', '167', '6.3325', '250000', '<1H OCEAN']
['-121.95', '37.74', '19', '5721', '837', '2653', '813', '6.2631', '266000', '<1H OCEAN']
['-121.94', '37.75', '17', '2559', '370', '1238', '377', '6.2781', '269800', '<1H OCEAN']
['-121.92', '37.73', '24', '1407', '327', '501', '295', '2.4821', '157200', '<1H OCEAN']
['-121.94', '37.75', '16', '5121', '735', '2464', '761', '6.6204', '296100', '<1H OCEAN']
['-121.99', '37.82', '22', '1248', '271', '579', '269', '3375', '200000', '<1H OCEAN']
['-121.99', '37.77', '14', '8213', '1364', '3283', '1286', '5.1755', '294800', '<1H OCEAN']
['-121.99', '37.81', '17', '465', '83', '146', '75', '4.9018', '188500', '<1H OCEAN']
['-121.84', '37.98', '8', '7505', '1089', '3325', '1016', '5.2699', '204200', 'INLAND']
['-121.81', '37.97', '8', '1584', '236', '615', '202', '6.4753', '166800', 'INLAND']
['-121.78', '37.97', '4', '17032', '2546', '7653', '2359', '5.5601', '213700', 'INLAND']
['-121.83', '37.95', '17', '1133', '244', '716', '235', '2875', '162500', 'INLAND']
['-121.96', '37.99', '2', '3129', '707', '1606', '698', '2.9591', '210100', 'INLAND']
['-121.96', '37.94', '26', '3084', '505', '1557', '501', '5.1582', '194700', 'INLAND']
['-121.96', '37.95', '25', '4026', '791', '1850', '709', '4.1483', '181200', 'INLAND']
['-121.95', '37.94', '21', '3153', '411', '1318', '431', '6.8642', '285400', 'INLAND']
['-121.92', '37.96', '14', '5332', '884', '2093', '839', '5.2798', '237400', 'INLAND']
['-121.94', '37.95', '18', '2541', '355', '986', '346', '7.1978', '288000', 'INLAND']
['-121.94', '37.94', '26', '1299', '174', '533', '180', '6.2296', '291700', 'INLAND']
['-121.93', '37.93', '16', '2876', '391', '1089', '377', '6299', '286900', 'INLAND']
['-121.95', '37.94', '27', '1469', '216', '578', '219', '5.9346', '253600', 'INLAND']
['-121.01', '37.25', '16', '2216', '458', '1135', '424', '2.7316', '97500', 'INLAND']
['-121.06', '37.18', '30', '2603', '507', '1491', '473', '3.0909', '123400', 'INLAND']
